sample_accession,Cohort,Tissue,Sub_Tissue,Age,Source,Source_details,Comment,Origin,Age_Days,Kept,study_title,study_abstract,run_accession,study_accession,region,Sample_comment,sample_attribute,BioSample,Library_Notes
SRS14398210,Eye,RPE,NA,NA,Primary Culture,NA,NA,NA,NA,NA,"Transcriptional comparison of adult human primary Retinal Pigment Epithelium, human pluripotent stem cell-derived Retinal Pigment Epithelium, and ARPE19 cells","The therapeutic potential of pluripotent stem cells is great as they promise to Q7  usher in a new era of medicine where cells or organs may be prescribed to  replace dysfunctional tissue. At the forefront are efforts in the eye to develop Q8  this technology as it lends itself to in vivo monitoring and sophisticated imaging  modalities. In the retina, retinal pigment epithelium (RPE) is the most promising  replacement cell as it has a single layer, is relatively simple to transplant, and is  associated with dozens of eye diseases. However, after transplantation, they  may transform and cause complications. This transformation may be partially  due to incomplete maturation. With the goal of learning how to mature RPE, we  compared iPSC-RPE with adult primary RPE and the immortalized ARPE-19 line.  We cultured ARPE-19, iPSC-RPE, and adult human RPE for one month,  evaluating morphology, RPE marker staining, and transepithelial electrical  resistance as quality control indicators. We then isolated RNA for bulk RNAsequencing  and DNA for genotyping. We genotyped adult RPE lines for the top  age-related macular degeneration (AMD) and proliferative vitreoretinopathy  (PVR) risk allele polymorphisms. Transcriptome data verified that both adult and  iPSC-RPE exhibit similar RPE gene expression signatures, significantly more  than ARPE-19. In addition, in iPSC-RPE, gene networks relating to epithelial to  mesenchymal transition (EMT), stem cell maintenance, retina development, and  muscle contraction were significantly elevated compared to those of adult RPE.  We compared adult human RPE to iPSC-RPE in a model of EMT and observed an  increased sensitivity of iPSC-RPE to producing contractile aggregates in vitro  which resembles incident reports upon transplantation. P38 inhibition was  capable of inhibiting iPSC-RPE–derived aggregates. In summary, we find  that the transcriptomic signature of iPSC-RPE conveys an immature RPE state  which may be ameliorated by targeting “immature” gene regulatory networks. Overall design: Comparative gene expression profiling by RNASeq of ahRPE, iPSC-RPE and ARPE19 cells.",SRR20751591,SRP389394,NA,NA,RPE7; ahRPE,NA,NA
SRS14398209,Eye,RPE,NA,NA,Primary Culture,NA,NA,NA,NA,NA,"Transcriptional comparison of adult human primary Retinal Pigment Epithelium, human pluripotent stem cell-derived Retinal Pigment Epithelium, and ARPE19 cells","The therapeutic potential of pluripotent stem cells is great as they promise to Q7  usher in a new era of medicine where cells or organs may be prescribed to  replace dysfunctional tissue. At the forefront are efforts in the eye to develop Q8  this technology as it lends itself to in vivo monitoring and sophisticated imaging  modalities. In the retina, retinal pigment epithelium (RPE) is the most promising  replacement cell as it has a single layer, is relatively simple to transplant, and is  associated with dozens of eye diseases. However, after transplantation, they  may transform and cause complications. This transformation may be partially  due to incomplete maturation. With the goal of learning how to mature RPE, we  compared iPSC-RPE with adult primary RPE and the immortalized ARPE-19 line.  We cultured ARPE-19, iPSC-RPE, and adult human RPE for one month,  evaluating morphology, RPE marker staining, and transepithelial electrical  resistance as quality control indicators. We then isolated RNA for bulk RNAsequencing  and DNA for genotyping. We genotyped adult RPE lines for the top  age-related macular degeneration (AMD) and proliferative vitreoretinopathy  (PVR) risk allele polymorphisms. Transcriptome data verified that both adult and  iPSC-RPE exhibit similar RPE gene expression signatures, significantly more  than ARPE-19. In addition, in iPSC-RPE, gene networks relating to epithelial to  mesenchymal transition (EMT), stem cell maintenance, retina development, and  muscle contraction were significantly elevated compared to those of adult RPE.  We compared adult human RPE to iPSC-RPE in a model of EMT and observed an  increased sensitivity of iPSC-RPE to producing contractile aggregates in vitro  which resembles incident reports upon transplantation. P38 inhibition was  capable of inhibiting iPSC-RPE–derived aggregates. In summary, we find  that the transcriptomic signature of iPSC-RPE conveys an immature RPE state  which may be ameliorated by targeting “immature” gene regulatory networks. Overall design: Comparative gene expression profiling by RNASeq of ahRPE, iPSC-RPE and ARPE19 cells.",SRR20751592,SRP389394,NA,NA,RPE5; ahRPE,NA,NA
SRS14398208,Eye,RPE,NA,NA,Primary Culture,NA,NA,NA,NA,NA,"Transcriptional comparison of adult human primary Retinal Pigment Epithelium, human pluripotent stem cell-derived Retinal Pigment Epithelium, and ARPE19 cells","The therapeutic potential of pluripotent stem cells is great as they promise to Q7  usher in a new era of medicine where cells or organs may be prescribed to  replace dysfunctional tissue. At the forefront are efforts in the eye to develop Q8  this technology as it lends itself to in vivo monitoring and sophisticated imaging  modalities. In the retina, retinal pigment epithelium (RPE) is the most promising  replacement cell as it has a single layer, is relatively simple to transplant, and is  associated with dozens of eye diseases. However, after transplantation, they  may transform and cause complications. This transformation may be partially  due to incomplete maturation. With the goal of learning how to mature RPE, we  compared iPSC-RPE with adult primary RPE and the immortalized ARPE-19 line.  We cultured ARPE-19, iPSC-RPE, and adult human RPE for one month,  evaluating morphology, RPE marker staining, and transepithelial electrical  resistance as quality control indicators. We then isolated RNA for bulk RNAsequencing  and DNA for genotyping. We genotyped adult RPE lines for the top  age-related macular degeneration (AMD) and proliferative vitreoretinopathy  (PVR) risk allele polymorphisms. Transcriptome data verified that both adult and  iPSC-RPE exhibit similar RPE gene expression signatures, significantly more  than ARPE-19. In addition, in iPSC-RPE, gene networks relating to epithelial to  mesenchymal transition (EMT), stem cell maintenance, retina development, and  muscle contraction were significantly elevated compared to those of adult RPE.  We compared adult human RPE to iPSC-RPE in a model of EMT and observed an  increased sensitivity of iPSC-RPE to producing contractile aggregates in vitro  which resembles incident reports upon transplantation. P38 inhibition was  capable of inhibiting iPSC-RPE–derived aggregates. In summary, we find  that the transcriptomic signature of iPSC-RPE conveys an immature RPE state  which may be ameliorated by targeting “immature” gene regulatory networks. Overall design: Comparative gene expression profiling by RNASeq of ahRPE, iPSC-RPE and ARPE19 cells.",SRR20751593,SRP389394,NA,NA,RPE4; ahRPE,NA,NA
SRS14398207,Eye,RPE,NA,NA,Primary Culture,NA,NA,NA,NA,NA,"Transcriptional comparison of adult human primary Retinal Pigment Epithelium, human pluripotent stem cell-derived Retinal Pigment Epithelium, and ARPE19 cells","The therapeutic potential of pluripotent stem cells is great as they promise to Q7  usher in a new era of medicine where cells or organs may be prescribed to  replace dysfunctional tissue. At the forefront are efforts in the eye to develop Q8  this technology as it lends itself to in vivo monitoring and sophisticated imaging  modalities. In the retina, retinal pigment epithelium (RPE) is the most promising  replacement cell as it has a single layer, is relatively simple to transplant, and is  associated with dozens of eye diseases. However, after transplantation, they  may transform and cause complications. This transformation may be partially  due to incomplete maturation. With the goal of learning how to mature RPE, we  compared iPSC-RPE with adult primary RPE and the immortalized ARPE-19 line.  We cultured ARPE-19, iPSC-RPE, and adult human RPE for one month,  evaluating morphology, RPE marker staining, and transepithelial electrical  resistance as quality control indicators. We then isolated RNA for bulk RNAsequencing  and DNA for genotyping. We genotyped adult RPE lines for the top  age-related macular degeneration (AMD) and proliferative vitreoretinopathy  (PVR) risk allele polymorphisms. Transcriptome data verified that both adult and  iPSC-RPE exhibit similar RPE gene expression signatures, significantly more  than ARPE-19. In addition, in iPSC-RPE, gene networks relating to epithelial to  mesenchymal transition (EMT), stem cell maintenance, retina development, and  muscle contraction were significantly elevated compared to those of adult RPE.  We compared adult human RPE to iPSC-RPE in a model of EMT and observed an  increased sensitivity of iPSC-RPE to producing contractile aggregates in vitro  which resembles incident reports upon transplantation. P38 inhibition was  capable of inhibiting iPSC-RPE–derived aggregates. In summary, we find  that the transcriptomic signature of iPSC-RPE conveys an immature RPE state  which may be ameliorated by targeting “immature” gene regulatory networks. Overall design: Comparative gene expression profiling by RNASeq of ahRPE, iPSC-RPE and ARPE19 cells.",SRR20751594,SRP389394,NA,NA,RPE3; ahRPE,NA,NA
SRS14398206,Eye,RPE,NA,NA,Primary Culture,NA,NA,NA,NA,NA,"Transcriptional comparison of adult human primary Retinal Pigment Epithelium, human pluripotent stem cell-derived Retinal Pigment Epithelium, and ARPE19 cells","The therapeutic potential of pluripotent stem cells is great as they promise to Q7  usher in a new era of medicine where cells or organs may be prescribed to  replace dysfunctional tissue. At the forefront are efforts in the eye to develop Q8  this technology as it lends itself to in vivo monitoring and sophisticated imaging  modalities. In the retina, retinal pigment epithelium (RPE) is the most promising  replacement cell as it has a single layer, is relatively simple to transplant, and is  associated with dozens of eye diseases. However, after transplantation, they  may transform and cause complications. This transformation may be partially  due to incomplete maturation. With the goal of learning how to mature RPE, we  compared iPSC-RPE with adult primary RPE and the immortalized ARPE-19 line.  We cultured ARPE-19, iPSC-RPE, and adult human RPE for one month,  evaluating morphology, RPE marker staining, and transepithelial electrical  resistance as quality control indicators. We then isolated RNA for bulk RNAsequencing  and DNA for genotyping. We genotyped adult RPE lines for the top  age-related macular degeneration (AMD) and proliferative vitreoretinopathy  (PVR) risk allele polymorphisms. Transcriptome data verified that both adult and  iPSC-RPE exhibit similar RPE gene expression signatures, significantly more  than ARPE-19. In addition, in iPSC-RPE, gene networks relating to epithelial to  mesenchymal transition (EMT), stem cell maintenance, retina development, and  muscle contraction were significantly elevated compared to those of adult RPE.  We compared adult human RPE to iPSC-RPE in a model of EMT and observed an  increased sensitivity of iPSC-RPE to producing contractile aggregates in vitro  which resembles incident reports upon transplantation. P38 inhibition was  capable of inhibiting iPSC-RPE–derived aggregates. In summary, we find  that the transcriptomic signature of iPSC-RPE conveys an immature RPE state  which may be ameliorated by targeting “immature” gene regulatory networks. Overall design: Comparative gene expression profiling by RNASeq of ahRPE, iPSC-RPE and ARPE19 cells.",SRR20751595,SRP389394,NA,NA,RPE2; ahRPE,NA,NA
SRS14398205,Eye,RPE,NA,NA,Primary Culture,NA,NA,NA,NA,NA,"Transcriptional comparison of adult human primary Retinal Pigment Epithelium, human pluripotent stem cell-derived Retinal Pigment Epithelium, and ARPE19 cells","The therapeutic potential of pluripotent stem cells is great as they promise to Q7  usher in a new era of medicine where cells or organs may be prescribed to  replace dysfunctional tissue. At the forefront are efforts in the eye to develop Q8  this technology as it lends itself to in vivo monitoring and sophisticated imaging  modalities. In the retina, retinal pigment epithelium (RPE) is the most promising  replacement cell as it has a single layer, is relatively simple to transplant, and is  associated with dozens of eye diseases. However, after transplantation, they  may transform and cause complications. This transformation may be partially  due to incomplete maturation. With the goal of learning how to mature RPE, we  compared iPSC-RPE with adult primary RPE and the immortalized ARPE-19 line.  We cultured ARPE-19, iPSC-RPE, and adult human RPE for one month,  evaluating morphology, RPE marker staining, and transepithelial electrical  resistance as quality control indicators. We then isolated RNA for bulk RNAsequencing  and DNA for genotyping. We genotyped adult RPE lines for the top  age-related macular degeneration (AMD) and proliferative vitreoretinopathy  (PVR) risk allele polymorphisms. Transcriptome data verified that both adult and  iPSC-RPE exhibit similar RPE gene expression signatures, significantly more  than ARPE-19. In addition, in iPSC-RPE, gene networks relating to epithelial to  mesenchymal transition (EMT), stem cell maintenance, retina development, and  muscle contraction were significantly elevated compared to those of adult RPE.  We compared adult human RPE to iPSC-RPE in a model of EMT and observed an  increased sensitivity of iPSC-RPE to producing contractile aggregates in vitro  which resembles incident reports upon transplantation. P38 inhibition was  capable of inhibiting iPSC-RPE–derived aggregates. In summary, we find  that the transcriptomic signature of iPSC-RPE conveys an immature RPE state  which may be ameliorated by targeting “immature” gene regulatory networks. Overall design: Comparative gene expression profiling by RNASeq of ahRPE, iPSC-RPE and ARPE19 cells.",SRR20751596,SRP389394,NA,NA,RPE1; ahRPE,NA,NA
SRS14398204,Eye,RPE,NA,NA,Cell Line,ARPE-19,NA,NA,NA,NA,"Transcriptional comparison of adult human primary Retinal Pigment Epithelium, human pluripotent stem cell-derived Retinal Pigment Epithelium, and ARPE19 cells","The therapeutic potential of pluripotent stem cells is great as they promise to Q7  usher in a new era of medicine where cells or organs may be prescribed to  replace dysfunctional tissue. At the forefront are efforts in the eye to develop Q8  this technology as it lends itself to in vivo monitoring and sophisticated imaging  modalities. In the retina, retinal pigment epithelium (RPE) is the most promising  replacement cell as it has a single layer, is relatively simple to transplant, and is  associated with dozens of eye diseases. However, after transplantation, they  may transform and cause complications. This transformation may be partially  due to incomplete maturation. With the goal of learning how to mature RPE, we  compared iPSC-RPE with adult primary RPE and the immortalized ARPE-19 line.  We cultured ARPE-19, iPSC-RPE, and adult human RPE for one month,  evaluating morphology, RPE marker staining, and transepithelial electrical  resistance as quality control indicators. We then isolated RNA for bulk RNAsequencing  and DNA for genotyping. We genotyped adult RPE lines for the top  age-related macular degeneration (AMD) and proliferative vitreoretinopathy  (PVR) risk allele polymorphisms. Transcriptome data verified that both adult and  iPSC-RPE exhibit similar RPE gene expression signatures, significantly more  than ARPE-19. In addition, in iPSC-RPE, gene networks relating to epithelial to  mesenchymal transition (EMT), stem cell maintenance, retina development, and  muscle contraction were significantly elevated compared to those of adult RPE.  We compared adult human RPE to iPSC-RPE in a model of EMT and observed an  increased sensitivity of iPSC-RPE to producing contractile aggregates in vitro  which resembles incident reports upon transplantation. P38 inhibition was  capable of inhibiting iPSC-RPE–derived aggregates. In summary, we find  that the transcriptomic signature of iPSC-RPE conveys an immature RPE state  which may be ameliorated by targeting “immature” gene regulatory networks. Overall design: Comparative gene expression profiling by RNASeq of ahRPE, iPSC-RPE and ARPE19 cells.",SRR20751597,SRP389394,NA,NA,ARPE-19-3; ARPE19,NA,NA
SRS14398203,Eye,RPE,NA,NA,Cell Line,ARPE-19,NA,NA,NA,NA,"Transcriptional comparison of adult human primary Retinal Pigment Epithelium, human pluripotent stem cell-derived Retinal Pigment Epithelium, and ARPE19 cells","The therapeutic potential of pluripotent stem cells is great as they promise to Q7  usher in a new era of medicine where cells or organs may be prescribed to  replace dysfunctional tissue. At the forefront are efforts in the eye to develop Q8  this technology as it lends itself to in vivo monitoring and sophisticated imaging  modalities. In the retina, retinal pigment epithelium (RPE) is the most promising  replacement cell as it has a single layer, is relatively simple to transplant, and is  associated with dozens of eye diseases. However, after transplantation, they  may transform and cause complications. This transformation may be partially  due to incomplete maturation. With the goal of learning how to mature RPE, we  compared iPSC-RPE with adult primary RPE and the immortalized ARPE-19 line.  We cultured ARPE-19, iPSC-RPE, and adult human RPE for one month,  evaluating morphology, RPE marker staining, and transepithelial electrical  resistance as quality control indicators. We then isolated RNA for bulk RNAsequencing  and DNA for genotyping. We genotyped adult RPE lines for the top  age-related macular degeneration (AMD) and proliferative vitreoretinopathy  (PVR) risk allele polymorphisms. Transcriptome data verified that both adult and  iPSC-RPE exhibit similar RPE gene expression signatures, significantly more  than ARPE-19. In addition, in iPSC-RPE, gene networks relating to epithelial to  mesenchymal transition (EMT), stem cell maintenance, retina development, and  muscle contraction were significantly elevated compared to those of adult RPE.  We compared adult human RPE to iPSC-RPE in a model of EMT and observed an  increased sensitivity of iPSC-RPE to producing contractile aggregates in vitro  which resembles incident reports upon transplantation. P38 inhibition was  capable of inhibiting iPSC-RPE–derived aggregates. In summary, we find  that the transcriptomic signature of iPSC-RPE conveys an immature RPE state  which may be ameliorated by targeting “immature” gene regulatory networks. Overall design: Comparative gene expression profiling by RNASeq of ahRPE, iPSC-RPE and ARPE19 cells.",SRR20751598,SRP389394,NA,NA,ARPE-19-2; ARPE19,NA,NA
SRS14398202,Eye,RPE,NA,NA,Cell Line,ARPE-19,NA,NA,NA,NA,"Transcriptional comparison of adult human primary Retinal Pigment Epithelium, human pluripotent stem cell-derived Retinal Pigment Epithelium, and ARPE19 cells","The therapeutic potential of pluripotent stem cells is great as they promise to Q7  usher in a new era of medicine where cells or organs may be prescribed to  replace dysfunctional tissue. At the forefront are efforts in the eye to develop Q8  this technology as it lends itself to in vivo monitoring and sophisticated imaging  modalities. In the retina, retinal pigment epithelium (RPE) is the most promising  replacement cell as it has a single layer, is relatively simple to transplant, and is  associated with dozens of eye diseases. However, after transplantation, they  may transform and cause complications. This transformation may be partially  due to incomplete maturation. With the goal of learning how to mature RPE, we  compared iPSC-RPE with adult primary RPE and the immortalized ARPE-19 line.  We cultured ARPE-19, iPSC-RPE, and adult human RPE for one month,  evaluating morphology, RPE marker staining, and transepithelial electrical  resistance as quality control indicators. We then isolated RNA for bulk RNAsequencing  and DNA for genotyping. We genotyped adult RPE lines for the top  age-related macular degeneration (AMD) and proliferative vitreoretinopathy  (PVR) risk allele polymorphisms. Transcriptome data verified that both adult and  iPSC-RPE exhibit similar RPE gene expression signatures, significantly more  than ARPE-19. In addition, in iPSC-RPE, gene networks relating to epithelial to  mesenchymal transition (EMT), stem cell maintenance, retina development, and  muscle contraction were significantly elevated compared to those of adult RPE.  We compared adult human RPE to iPSC-RPE in a model of EMT and observed an  increased sensitivity of iPSC-RPE to producing contractile aggregates in vitro  which resembles incident reports upon transplantation. P38 inhibition was  capable of inhibiting iPSC-RPE–derived aggregates. In summary, we find  that the transcriptomic signature of iPSC-RPE conveys an immature RPE state  which may be ameliorated by targeting “immature” gene regulatory networks. Overall design: Comparative gene expression profiling by RNASeq of ahRPE, iPSC-RPE and ARPE19 cells.",SRR20751599,SRP389394,NA,NA,ARPE-19-1; ARPE19,NA,NA
SRS14398201,Eye,RPE,NA,NA,iPSC,NA,NA,NA,NA,NA,"Transcriptional comparison of adult human primary Retinal Pigment Epithelium, human pluripotent stem cell-derived Retinal Pigment Epithelium, and ARPE19 cells","The therapeutic potential of pluripotent stem cells is great as they promise to Q7  usher in a new era of medicine where cells or organs may be prescribed to  replace dysfunctional tissue. At the forefront are efforts in the eye to develop Q8  this technology as it lends itself to in vivo monitoring and sophisticated imaging  modalities. In the retina, retinal pigment epithelium (RPE) is the most promising  replacement cell as it has a single layer, is relatively simple to transplant, and is  associated with dozens of eye diseases. However, after transplantation, they  may transform and cause complications. This transformation may be partially  due to incomplete maturation. With the goal of learning how to mature RPE, we  compared iPSC-RPE with adult primary RPE and the immortalized ARPE-19 line.  We cultured ARPE-19, iPSC-RPE, and adult human RPE for one month,  evaluating morphology, RPE marker staining, and transepithelial electrical  resistance as quality control indicators. We then isolated RNA for bulk RNAsequencing  and DNA for genotyping. We genotyped adult RPE lines for the top  age-related macular degeneration (AMD) and proliferative vitreoretinopathy  (PVR) risk allele polymorphisms. Transcriptome data verified that both adult and  iPSC-RPE exhibit similar RPE gene expression signatures, significantly more  than ARPE-19. In addition, in iPSC-RPE, gene networks relating to epithelial to  mesenchymal transition (EMT), stem cell maintenance, retina development, and  muscle contraction were significantly elevated compared to those of adult RPE.  We compared adult human RPE to iPSC-RPE in a model of EMT and observed an  increased sensitivity of iPSC-RPE to producing contractile aggregates in vitro  which resembles incident reports upon transplantation. P38 inhibition was  capable of inhibiting iPSC-RPE–derived aggregates. In summary, we find  that the transcriptomic signature of iPSC-RPE conveys an immature RPE state  which may be ameliorated by targeting “immature” gene regulatory networks. Overall design: Comparative gene expression profiling by RNASeq of ahRPE, iPSC-RPE and ARPE19 cells.",SRR20751600,SRP389394,NA,NA,FA11-3; iPSC-RPE,NA,NA
SRS14398200,Eye,RPE,NA,NA,iPSC,NA,NA,NA,NA,NA,"Transcriptional comparison of adult human primary Retinal Pigment Epithelium, human pluripotent stem cell-derived Retinal Pigment Epithelium, and ARPE19 cells","The therapeutic potential of pluripotent stem cells is great as they promise to Q7  usher in a new era of medicine where cells or organs may be prescribed to  replace dysfunctional tissue. At the forefront are efforts in the eye to develop Q8  this technology as it lends itself to in vivo monitoring and sophisticated imaging  modalities. In the retina, retinal pigment epithelium (RPE) is the most promising  replacement cell as it has a single layer, is relatively simple to transplant, and is  associated with dozens of eye diseases. However, after transplantation, they  may transform and cause complications. This transformation may be partially  due to incomplete maturation. With the goal of learning how to mature RPE, we  compared iPSC-RPE with adult primary RPE and the immortalized ARPE-19 line.  We cultured ARPE-19, iPSC-RPE, and adult human RPE for one month,  evaluating morphology, RPE marker staining, and transepithelial electrical  resistance as quality control indicators. We then isolated RNA for bulk RNAsequencing  and DNA for genotyping. We genotyped adult RPE lines for the top  age-related macular degeneration (AMD) and proliferative vitreoretinopathy  (PVR) risk allele polymorphisms. Transcriptome data verified that both adult and  iPSC-RPE exhibit similar RPE gene expression signatures, significantly more  than ARPE-19. In addition, in iPSC-RPE, gene networks relating to epithelial to  mesenchymal transition (EMT), stem cell maintenance, retina development, and  muscle contraction were significantly elevated compared to those of adult RPE.  We compared adult human RPE to iPSC-RPE in a model of EMT and observed an  increased sensitivity of iPSC-RPE to producing contractile aggregates in vitro  which resembles incident reports upon transplantation. P38 inhibition was  capable of inhibiting iPSC-RPE–derived aggregates. In summary, we find  that the transcriptomic signature of iPSC-RPE conveys an immature RPE state  which may be ameliorated by targeting “immature” gene regulatory networks. Overall design: Comparative gene expression profiling by RNASeq of ahRPE, iPSC-RPE and ARPE19 cells.",SRR20751601,SRP389394,NA,NA,FA11-2; iPSC-RPE,NA,NA
SRS14398199,Eye,RPE,NA,NA,iPSC,NA,NA,NA,NA,NA,"Transcriptional comparison of adult human primary Retinal Pigment Epithelium, human pluripotent stem cell-derived Retinal Pigment Epithelium, and ARPE19 cells","The therapeutic potential of pluripotent stem cells is great as they promise to Q7  usher in a new era of medicine where cells or organs may be prescribed to  replace dysfunctional tissue. At the forefront are efforts in the eye to develop Q8  this technology as it lends itself to in vivo monitoring and sophisticated imaging  modalities. In the retina, retinal pigment epithelium (RPE) is the most promising  replacement cell as it has a single layer, is relatively simple to transplant, and is  associated with dozens of eye diseases. However, after transplantation, they  may transform and cause complications. This transformation may be partially  due to incomplete maturation. With the goal of learning how to mature RPE, we  compared iPSC-RPE with adult primary RPE and the immortalized ARPE-19 line.  We cultured ARPE-19, iPSC-RPE, and adult human RPE for one month,  evaluating morphology, RPE marker staining, and transepithelial electrical  resistance as quality control indicators. We then isolated RNA for bulk RNAsequencing  and DNA for genotyping. We genotyped adult RPE lines for the top  age-related macular degeneration (AMD) and proliferative vitreoretinopathy  (PVR) risk allele polymorphisms. Transcriptome data verified that both adult and  iPSC-RPE exhibit similar RPE gene expression signatures, significantly more  than ARPE-19. In addition, in iPSC-RPE, gene networks relating to epithelial to  mesenchymal transition (EMT), stem cell maintenance, retina development, and  muscle contraction were significantly elevated compared to those of adult RPE.  We compared adult human RPE to iPSC-RPE in a model of EMT and observed an  increased sensitivity of iPSC-RPE to producing contractile aggregates in vitro  which resembles incident reports upon transplantation. P38 inhibition was  capable of inhibiting iPSC-RPE–derived aggregates. In summary, we find  that the transcriptomic signature of iPSC-RPE conveys an immature RPE state  which may be ameliorated by targeting “immature” gene regulatory networks. Overall design: Comparative gene expression profiling by RNASeq of ahRPE, iPSC-RPE and ARPE19 cells.",SRR20751602,SRP389394,NA,NA,FA11-1; iPSC-RPE,NA,NA
SRS14398198,Eye,RPE,NA,NA,iPSC,NA,NA,NA,NA,NA,"Transcriptional comparison of adult human primary Retinal Pigment Epithelium, human pluripotent stem cell-derived Retinal Pigment Epithelium, and ARPE19 cells","The therapeutic potential of pluripotent stem cells is great as they promise to Q7  usher in a new era of medicine where cells or organs may be prescribed to  replace dysfunctional tissue. At the forefront are efforts in the eye to develop Q8  this technology as it lends itself to in vivo monitoring and sophisticated imaging  modalities. In the retina, retinal pigment epithelium (RPE) is the most promising  replacement cell as it has a single layer, is relatively simple to transplant, and is  associated with dozens of eye diseases. However, after transplantation, they  may transform and cause complications. This transformation may be partially  due to incomplete maturation. With the goal of learning how to mature RPE, we  compared iPSC-RPE with adult primary RPE and the immortalized ARPE-19 line.  We cultured ARPE-19, iPSC-RPE, and adult human RPE for one month,  evaluating morphology, RPE marker staining, and transepithelial electrical  resistance as quality control indicators. We then isolated RNA for bulk RNAsequencing  and DNA for genotyping. We genotyped adult RPE lines for the top  age-related macular degeneration (AMD) and proliferative vitreoretinopathy  (PVR) risk allele polymorphisms. Transcriptome data verified that both adult and  iPSC-RPE exhibit similar RPE gene expression signatures, significantly more  than ARPE-19. In addition, in iPSC-RPE, gene networks relating to epithelial to  mesenchymal transition (EMT), stem cell maintenance, retina development, and  muscle contraction were significantly elevated compared to those of adult RPE.  We compared adult human RPE to iPSC-RPE in a model of EMT and observed an  increased sensitivity of iPSC-RPE to producing contractile aggregates in vitro  which resembles incident reports upon transplantation. P38 inhibition was  capable of inhibiting iPSC-RPE–derived aggregates. In summary, we find  that the transcriptomic signature of iPSC-RPE conveys an immature RPE state  which may be ameliorated by targeting “immature” gene regulatory networks. Overall design: Comparative gene expression profiling by RNASeq of ahRPE, iPSC-RPE and ARPE19 cells.",SRR20751603,SRP389394,NA,NA,FA10-3; iPSC-RPE,NA,NA
SRS14398197,Eye,RPE,NA,NA,iPSC,NA,NA,NA,NA,NA,"Transcriptional comparison of adult human primary Retinal Pigment Epithelium, human pluripotent stem cell-derived Retinal Pigment Epithelium, and ARPE19 cells","The therapeutic potential of pluripotent stem cells is great as they promise to Q7  usher in a new era of medicine where cells or organs may be prescribed to  replace dysfunctional tissue. At the forefront are efforts in the eye to develop Q8  this technology as it lends itself to in vivo monitoring and sophisticated imaging  modalities. In the retina, retinal pigment epithelium (RPE) is the most promising  replacement cell as it has a single layer, is relatively simple to transplant, and is  associated with dozens of eye diseases. However, after transplantation, they  may transform and cause complications. This transformation may be partially  due to incomplete maturation. With the goal of learning how to mature RPE, we  compared iPSC-RPE with adult primary RPE and the immortalized ARPE-19 line.  We cultured ARPE-19, iPSC-RPE, and adult human RPE for one month,  evaluating morphology, RPE marker staining, and transepithelial electrical  resistance as quality control indicators. We then isolated RNA for bulk RNAsequencing  and DNA for genotyping. We genotyped adult RPE lines for the top  age-related macular degeneration (AMD) and proliferative vitreoretinopathy  (PVR) risk allele polymorphisms. Transcriptome data verified that both adult and  iPSC-RPE exhibit similar RPE gene expression signatures, significantly more  than ARPE-19. In addition, in iPSC-RPE, gene networks relating to epithelial to  mesenchymal transition (EMT), stem cell maintenance, retina development, and  muscle contraction were significantly elevated compared to those of adult RPE.  We compared adult human RPE to iPSC-RPE in a model of EMT and observed an  increased sensitivity of iPSC-RPE to producing contractile aggregates in vitro  which resembles incident reports upon transplantation. P38 inhibition was  capable of inhibiting iPSC-RPE–derived aggregates. In summary, we find  that the transcriptomic signature of iPSC-RPE conveys an immature RPE state  which may be ameliorated by targeting “immature” gene regulatory networks. Overall design: Comparative gene expression profiling by RNASeq of ahRPE, iPSC-RPE and ARPE19 cells.",SRR20751604,SRP389394,NA,NA,FA10-2; iPSC-RPE,NA,NA
